i
ɸnɨɾm
ɸnɨɾt
ɸnɨɾg
ɸnɨbs
sɾɨb
sɾɨd
sɾɨg
sɾɨm
sɾɨn
sɾɨŋ
sɾɨs
sɾɨɾ
sɾɨsɾ
sɾɨɾb
sɾɨɾm
sɾɨɾt
sɾɨɾg
sɾɨbs
ʃmɨb
ʃmɨd
ʃmɨg
ʃmɨm
ʃmɨn
ʃmɨŋ
ʃmɨs
ʃmɨɾ
ʃmɨsɾ
ʃmɨɾb
ʃmɨɾm
ʃmɨɾt
ʃmɨɾg
ʃmɨbs
ʃɾɨb
ʃɾɨd
ʃɾɨg
ʃɾɨm
ʃɾɨn
ʃɾɨŋ
ʃɾɨs
ʃɾɨɾ
ʃɾɨsɾ
ʃɾɨɾb
ʃɾɨɾm
ʃɾɨɾt
ʃɾɨɾg
ʃɾɨbs
kɾɨb
kɾɨd
kɾɨg
kɾɨm
kɾɨn
kɾɨŋ
kɾɨs
kɾɨɾ
kɾɨsɾ
kɾɨɾb
kɾɨɾm
kɾɨɾt
kɾɨɾg
kɾɨbs
u
pu
bu
tu
du
ku
gu
mu
nu
ŋu
ksu
tʃu
ɸu
su
zu
ʃu
hu
ɾu
ɸnu
sɾu
ʃmu
ʃɾu
kɾu
ub
ud
ug
um
un
uŋ
us
uɾ
usɾ
uɾb
uɾm
uɾt
uɾg
ubs
pub
pud
pug
pum
pun
puŋ
pus
puɾ
pusɾ
puɾb
puɾm
puɾt
puɾg
pubs
bub
bud
bug
bum
bun
buŋ
bus
buɾ
busɾ
buɾb
buɾm
buɾt
buɾg
bubs
tub
tud
tug
tum
tun
tuŋ
tus
tuɾ
tusɾ
tuɾb
tuɾm
tuɾt
tuɾg
tubs
dub
dud
dug
dum
dun
duŋ
dus
duɾ
dusɾ
duɾb
duɾm
duɾt
duɾg
dubs
kub
kud
kug
kum
kun
kuŋ
kus
kuɾ
kusɾ
kuɾb
kuɾm
kuɾt
kuɾg
kubs
gub
gud
gug
gum
gun
guŋ
gus
guɾ
gusɾ
guɾb
guɾm
guɾt
guɾg
gubs
mub
mud
mug
mum
mun
muŋ
mus
muɾ
musɾ
muɾb
muɾm
muɾt
muɾg
mubs
nub
nud
nug
num
nun
nuŋ
nus
nuɾ
nusɾ
nuɾb
nuɾm
nuɾt
nuɾg
nubs
ŋub
ŋud
ŋug
ŋum
ŋun
ŋuŋ
ŋus
ŋuɾ
ŋusɾ
ŋuɾb
ŋuɾm
ŋuɾt
ŋuɾg
ŋubs
ksub
ksud
ksug
ksum
ksun
ksuŋ
ksus
ksuɾ
ksusɾ
ksuɾb
ksuɾm
ksuɾt
ksuɾg
ksubs
tʃub
tʃud
tʃug
tʃum
tʃun
tʃuŋ
tʃus
tʃuɾ
tʃusɾ
tʃuɾb
tʃuɾm
tʃuɾt
tʃuɾg
tʃubs
ɸub
ɸud
ɸug
ɸum
ɸun
ɸuŋ
ɸus
ɸuɾ
ɸusɾ
ɸuɾb
ɸuɾm
ɸuɾt
ɸuɾg
ɸubs
sub
sud
sug
sum
sun
suŋ
sus
suɾ
susɾ
suɾb
suɾm
suɾt
suɾg
subs
zub
zud
zug
zum
zun
zuŋ
zus
zuɾ
zusɾ
zuɾb
zuɾm
zuɾt
zuɾg
zubs
ʃub
ʃud
ʃug
ʃum
ʃun
ʃuŋ
ʃus
ʃuɾ
ʃusɾ
ʃuɾb
ʃuɾm
ʃuɾt
ʃuɾg
ʃubs
hub
hud
hug
hum
hun
huŋ
hus
huɾ
husɾ
huɾb
huɾm
huɾt
huɾg
hubs
ɾub
ɾud
ɾug
ɾum
ɾun
ɾuŋ
ɾus
ɾuɾ
ɾusɾ
ɾuɾb
ɾuɾm
ɾuɾt
ɾuɾg
ɾubs
ɸnub
ɸnud
ɸnug
ɸnum
ɸnun
ɸnuŋ
ɸnus
ɸnuɾ
ɸnusɾ
ɸnuɾb
ɸnuɾm
ɸnuɾt
ɸnuɾg
ɸnubs
sɾub
sɾud
sɾug
sɾum
sɾun
sɾuŋ
sɾus
sɾuɾ
sɾusɾ
sɾuɾb
sɾuɾm
sɾuɾt
sɾuɾg
sɾubs
ʃmub
ʃmud
ʃmug
ʃmum
ʃmun
ʃmuŋ
ʃmus
ʃmuɾ
ʃmusɾ
ʃmuɾb
ʃmuɾm
ʃmuɾt
ʃmuɾg
ʃmubs
ʃɾub
ʃɾud
ʃɾug
ʃɾum
ʃɾun
ʃɾuŋ
ʃɾus
ʃɾuɾ
ʃɾusɾ
ʃɾuɾb
ʃɾuɾm
ʃɾuɾt
ʃɾuɾg
ʃɾubs
kɾub
kɾud
kɾug
kɾum
kɾun
kɾuŋ
kɾus
kɾuɾ
kɾusɾ
kɾuɾb
kɾuɾm
kɾuɾt
kɾuɾg
kɾubs
e
pe
be
te
de
ke
ge
me
ne
ŋe
kse
tʃe
ɸe
se
ze
ʃe
he
ɾe
ɸne
sɾe
ʃme
ʃɾe
kɾe
eb
ed
eg
em
en
eŋ
es
eɾ
esɾ
eɾb
eɾm
eɾt
eɾg
ebs
peb
ped
peg
pem
pen
peŋ
pes
peɾ
pesɾ
peɾb
peɾm
peɾt
peɾg
pebs
beb
bed
beg
bem
ben
beŋ
bes
beɾ
besɾ
beɾb
beɾm
beɾt
beɾg
bebs
teb
ted
teg
tem
ten
teŋ
tes
teɾ
tesɾ
teɾb
teɾm
teɾt
teɾg
tebs
deb
ded
deg
dem
den
deŋ
des
deɾ
desɾ
deɾb
deɾm
deɾt
deɾg
debs
keb
ked
keg
kem
ken
keŋ
kes
keɾ
kesɾ
keɾb
keɾm
keɾt
keɾg
kebs
geb
ged
geg
gem
gen
geŋ
ges
geɾ
gesɾ
geɾb
geɾm
geɾt
geɾg
gebs
meb
med
meg
mem
men
meŋ
mes
meɾ
mesɾ
meɾb
meɾm
meɾt
meɾg
mebs
neb
ned
neg
nem
nen
neŋ
nes
neɾ
nesɾ
neɾb
neɾm
neɾt
neɾg
nebs
ŋeb
ŋed
ŋeg
ŋem
ŋen
ŋeŋ
ŋes
ŋeɾ
ŋesɾ
ŋeɾb
ŋeɾm
ŋeɾt
ŋeɾg
ŋebs
kseb
ksed
kseg
ksem
ksen
kseŋ
kses
kseɾ
ksesɾ
kseɾb
kseɾm
kseɾt
kseɾg
ksebs
tʃeb
tʃed
tʃeg
tʃem
tʃen
tʃeŋ
tʃes
tʃeɾ
tʃesɾ
tʃeɾb
tʃeɾm
tʃeɾt
tʃeɾg
tʃebs
ɸeb
ɸed
ɸeg
ɸem
ɸen
ɸeŋ
ɸes
ɸeɾ
ɸesɾ
ɸeɾb
ɸeɾm
ɸeɾt
ɸeɾg
ɸebs
seb
sed
seg
sem
sen
seŋ
ses
seɾ
sesɾ
seɾb
seɾm
seɾt
seɾg
sebs
zeb
zed
zeg
zem
zen
zeŋ
zes
zeɾ
zesɾ
zeɾb
zeɾm
zeɾt
zeɾg
zebs
ʃeb
ʃed
ʃeg
ʃem
ʃen
ʃeŋ
ʃes
ʃeɾ
ʃesɾ
ʃeɾb
ʃeɾm
ʃeɾt
ʃeɾg
ʃebs
heb
hed
heg
hem
hen
heŋ
hes
heɾ
hesɾ
heɾb
heɾm
heɾt
heɾg
hebs
ɾeb
ɾed
ɾeg
ɾem
ɾen
ɾeŋ
ɾes
ɾeɾ
ɾesɾ
ɾeɾb
ɾeɾm
ɾeɾt
ɾeɾg
ɾebs
ɸneb
ɸned
ɸneg
ɸnem
ɸnen
ɸneŋ
ɸnes
ɸneɾ
ɸnesɾ
ɸneɾb
ɸneɾm
ɸneɾt
ɸneɾg
ɸnebs
sɾeb
sɾed
sɾeg
sɾem
sɾen
sɾeŋ
sɾes
sɾeɾ
sɾesɾ
sɾeɾb
sɾeɾm
sɾeɾt
sɾeɾg
sɾebs
ʃmeb
ʃmed
ʃmeg
ʃmem
ʃmen
ʃmeŋ
ʃmes
ʃmeɾ
ʃmesɾ
ʃmeɾb
ʃmeɾm
ʃmeɾt
ʃmeɾg
ʃmebs
ʃɾeb
ʃɾed
ʃɾeg
ʃɾem
ʃɾen
ʃɾeŋ
ʃɾes
ʃɾeɾ
ʃɾesɾ
ʃɾeɾb
ʃɾeɾm
ʃɾeɾt
ʃɾeɾg
ʃɾebs
kɾeb
kɾed
kɾeg
kɾem
kɾen
kɾeŋ
kɾes
kɾeɾ
kɾesɾ
kɾeɾb
kɾeɾm
kɾeɾt
kɾeɾg
kɾebs
o
po
bo
to
do
ko
go
mo
no
ŋo
kso
tʃo
ɸo
so
zo
ʃo
ho
ɾo
ɸno
sɾo
ʃmo
ʃɾo
kɾo
ob
od
og
om
on
oŋ
os
oɾ
osɾ
oɾb
oɾm
oɾt
oɾg
obs
pob
pod
pog
pom
pon
poŋ
pos
poɾ
posɾ
poɾb
poɾm
poɾt
poɾg
pobs
bob
bod
bog
bom
bon
boŋ
bos
boɾ
bosɾ
boɾb
boɾm
boɾt
boɾg
bobs
tob
tod
tog
tom
ton
toŋ
tos
toɾ
tosɾ
toɾb
toɾm
toɾt
toɾg
tobs
dob
dod
dog
dom
don
doŋ
dos
doɾ
dosɾ
doɾb
doɾm
doɾt
doɾg
dobs
kob
kod
kog
kom
kon
koŋ
kos
koɾ
kosɾ
koɾb
koɾm
koɾt
koɾg
kobs
gob
god
gog
gom
gon
goŋ
gos
goɾ
gosɾ
goɾb
goɾm
goɾt
goɾg
gobs
mob
mod
mog
mom
mon
moŋ
mos
moɾ
mosɾ
moɾb
moɾm
moɾt
moɾg
mobs
nob
nod
nog
nom
non
noŋ
nos
noɾ
nosɾ
noɾb
noɾm
noɾt
noɾg
nobs
ŋob
ŋod
ŋog
ŋom
ŋon
ŋoŋ
ŋos
ŋoɾ
ŋosɾ
ŋoɾb
ŋoɾm
ŋoɾt
ŋoɾg
ŋobs
ksob
ksod
ksog
ksom
kson
ksoŋ
ksos
ksoɾ
ksosɾ
ksoɾb
ksoɾm
ksoɾt
ksoɾg
ksobs
tʃob
tʃod
tʃog
tʃom
tʃon
tʃoŋ
tʃos
tʃoɾ
tʃosɾ
tʃoɾb
tʃoɾm
tʃoɾt
tʃoɾg
tʃobs
ɸob
ɸod
ɸog
ɸom
ɸon
ɸoŋ
ɸos
ɸoɾ
ɸosɾ
ɸoɾb
ɸoɾm
ɸoɾt
ɸoɾg
ɸobs
sob
sod
sog
som
son
soŋ
sos
soɾ
sosɾ
soɾb
soɾm
soɾt
soɾg
sobs
zob
zod
zog
zom
zon
zoŋ
zos
zoɾ
zosɾ
zoɾb
zoɾm
zoɾt
zoɾg
zobs
ʃob
ʃod
ʃog
ʃom
ʃon
ʃoŋ
ʃos
ʃoɾ
ʃosɾ
ʃoɾb
ʃoɾm
ʃoɾt
ʃoɾg
ʃobs
hob
hod
hog
hom
hon
hoŋ
hos
hoɾ
hosɾ
hoɾb
hoɾm
hoɾt
hoɾg
hobs
ɾob
ɾod
ɾog
ɾom
ɾon
ɾoŋ
ɾos
ɾoɾ
ɾosɾ
ɾoɾb
ɾoɾm
ɾoɾt
ɾoɾg
ɾobs
ɸnob
ɸnod
ɸnog
ɸnom
ɸnon
ɸnoŋ
ɸnos
ɸnoɾ
ɸnosɾ
ɸnoɾb
ɸnoɾm
ɸnoɾt
ɸnoɾg
ɸnobs
sɾob
sɾod
sɾog
sɾom
sɾon
sɾoŋ
sɾos
sɾoɾ
sɾosɾ
sɾoɾb
sɾoɾm
sɾoɾt
sɾoɾg
sɾobs
ʃmob
ʃmod
ʃmog
ʃmom
ʃmon
ʃmoŋ
ʃmos
ʃmoɾ
ʃmosɾ
ʃmoɾb
ʃmoɾm
ʃmoɾt
ʃmoɾg
ʃmobs
ʃɾob
ʃɾod
ʃɾog
ʃɾom
ʃɾon
ʃɾoŋ
ʃɾos
ʃɾoɾ
ʃɾosɾ
ʃɾoɾb
ʃɾoɾm
ʃɾoɾt
ʃɾoɾg
ʃɾobs
kɾob
kɾod
kɾog
kɾom
kɾon
kɾoŋ
kɾos
kɾoɾ
kɾosɾ
kɾoɾb
kɾoɾm
kɾoɾt
kɾoɾg
kɾobs
ɛ
pɛ
bɛ
tɛ
dɛ
kɛ
gɛ
mɛ
nɛ
ŋɛ
ksɛ
tʃɛ
ɸɛ
sɛ
zɛ
ʃɛ
hɛ
ɾɛ
ɸnɛ
sɾɛ
ʃmɛ
ʃɾɛ
kɾɛ
ɛb
ɛd
ɛg
ɛm
ɛn
ɛŋ
ɛs
ɛɾ
ɛsɾ
ɛɾb
ɛɾm
ɛɾt
ɛɾg
ɛbs
pɛb
pɛd
pɛg
pɛm
pɛn
pɛŋ
pɛs
pɛɾ
pɛsɾ
pɛɾb
pɛɾm
pɛɾt
pɛɾg
pɛbs
bɛb
bɛd
bɛg
bɛm
bɛn
bɛŋ
bɛs
bɛɾ
bɛsɾ
bɛɾb
bɛɾm
bɛɾt
bɛɾg
bɛbs
tɛb
tɛd
tɛg
tɛm
tɛn
tɛŋ
tɛs
tɛɾ
tɛsɾ
tɛɾb
tɛɾm
tɛɾt
tɛɾg
tɛbs
dɛb
dɛd
dɛg
dɛm
dɛn
dɛŋ
dɛs
dɛɾ
dɛsɾ
dɛɾb
dɛɾm
dɛɾt
dɛɾg
dɛbs
kɛb
kɛd
kɛg
kɛm
kɛn
kɛŋ
kɛs
kɛɾ
kɛsɾ
kɛɾb
kɛɾm
kɛɾt
kɛɾg
kɛbs
gɛb
gɛd
gɛg
gɛm
gɛn
gɛŋ
gɛs
gɛɾ
gɛsɾ
gɛɾb
gɛɾm
gɛɾt
gɛɾg
gɛbs
mɛb
mɛd
mɛg
mɛm
mɛn
mɛŋ
mɛs
mɛɾ
mɛsɾ
mɛɾb
mɛɾm
mɛɾt
mɛɾg
mɛbs
nɛb
nɛd
nɛg
nɛm
nɛn
nɛŋ
nɛs
nɛɾ
nɛsɾ
nɛɾb
nɛɾm
nɛɾt
nɛɾg
nɛbs
ŋɛb
ŋɛd
ŋɛg
ŋɛm
ŋɛn
ŋɛŋ
ŋɛs
ŋɛɾ
ŋɛsɾ
ŋɛɾb
ŋɛɾm
ŋɛɾt
ŋɛɾg
ŋɛbs
ksɛb
ksɛd
ksɛg
ksɛm
ksɛn
ksɛŋ
ksɛs
ksɛɾ
ksɛsɾ
ksɛɾb
ksɛɾm
ksɛɾt
ksɛɾg
ksɛbs
tʃɛb
tʃɛd
tʃɛg
tʃɛm
tʃɛn
tʃɛŋ
tʃɛs
tʃɛɾ
tʃɛsɾ
tʃɛɾb
tʃɛɾm
tʃɛɾt
tʃɛɾg
tʃɛbs
ɸɛb
ɸɛd
ɸɛg
ɸɛm
ɸɛn
ɸɛŋ
ɸɛs
ɸɛɾ
ɸɛsɾ
ɸɛɾb
ɸɛɾm
ɸɛɾt
ɸɛɾg
ɸɛbs
sɛb
sɛd
sɛg
sɛm
sɛn
sɛŋ
sɛs
sɛɾ
sɛsɾ
sɛɾb
sɛɾm
sɛɾt
sɛɾg
sɛbs
zɛb
zɛd
zɛg
zɛm
zɛn
zɛŋ
zɛs
zɛɾ
zɛsɾ
zɛɾb
zɛɾm
zɛɾt
zɛɾg
zɛbs
ʃɛb
ʃɛd
ʃɛg
ʃɛm
ʃɛn
ʃɛŋ
ʃɛs
ʃɛɾ
ʃɛsɾ
ʃɛɾb
ʃɛɾm
ʃɛɾt
ʃɛɾg
ʃɛbs
hɛb
hɛd
hɛg
hɛm
hɛn
hɛŋ
hɛs
hɛɾ
hɛsɾ
hɛɾb
hɛɾm
hɛɾt
hɛɾg
hɛbs
ɾɛb
ɾɛd
ɾɛg
ɾɛm
ɾɛn
ɾɛŋ
ɾɛs
ɾɛɾ
ɾɛsɾ
ɾɛɾb
ɾɛɾm
ɾɛɾt
ɾɛɾg
ɾɛbs
ɸnɛb
ɸnɛd
ɸnɛg
ɸnɛm
ɸnɛn
ɸnɛŋ
ɸnɛs
ɸnɛɾ
ɸnɛsɾ
ɸnɛɾb
ɸnɛɾm
ɸnɛɾt
ɸnɛɾg
ɸnɛbs
sɾɛb
sɾɛd
sɾɛg
sɾɛm
sɾɛn
sɾɛŋ
sɾɛs
sɾɛɾ
sɾɛsɾ
sɾɛɾb
sɾɛɾm
sɾɛɾt
sɾɛɾg
sɾɛbs
ʃmɛb
ʃmɛd
ʃmɛg
ʃmɛm
ʃmɛn
ʃmɛŋ
ʃmɛs
ʃmɛɾ
ʃmɛsɾ
ʃmɛɾb
ʃmɛɾm
ʃmɛɾt
ʃmɛɾg
ʃmɛbs
ʃɾɛb
ʃɾɛd
ʃɾɛg
ʃɾɛm
ʃɾɛn
ʃɾɛŋ
ʃɾɛs
ʃɾɛɾ
ʃɾɛsɾ
ʃɾɛɾb
ʃɾɛɾm
ʃɾɛɾt
ʃɾɛɾg
ʃɾɛbs
kɾɛb
kɾɛd
kɾɛg
kɾɛm
kɾɛn
kɾɛŋ
kɾɛs
kɾɛɾ
kɾɛsɾ
kɾɛɾb
kɾɛɾm
kɾɛɾt
kɾɛɾg
kɾɛbs
ʌ
pʌ
bʌ
tʌ
dʌ
kʌ
gʌ
mʌ
nʌ
ŋʌ
ksʌ
tʃʌ
ɸʌ
sʌ
zʌ
ʃʌ
hʌ
ɾʌ
ɸnʌ
sɾʌ
ʃmʌ
ʃɾʌ
kɾʌ
ʌb
ʌd
ʌg
ʌm
ʌn
ʌŋ
ʌs
ʌɾ
ʌsɾ
ʌɾb
ʌɾm
ʌɾt
ʌɾg
ʌbs
pʌb
pʌd
pʌg
pʌm
pʌn
pʌŋ
pʌs
pʌɾ
pʌsɾ
pʌɾb
pʌɾm
pʌɾt
pʌɾg
pʌbs
bʌb
bʌd
bʌg
bʌm
bʌn
bʌŋ
bʌs
bʌɾ
bʌsɾ
bʌɾb
bʌɾm
bʌɾt
bʌɾg
bʌbs
tʌb
tʌd
tʌg
tʌm
tʌn
tʌŋ
tʌs
tʌɾ
tʌsɾ
tʌɾb
tʌɾm
tʌɾt
tʌɾg
tʌbs
dʌb
dʌd
dʌg
dʌm
dʌn
dʌŋ
dʌs
dʌɾ
dʌsɾ
dʌɾb
dʌɾm
dʌɾt
dʌɾg
dʌbs
kʌb
kʌd
kʌg
kʌm
kʌn
kʌŋ
kʌs
kʌɾ
kʌsɾ
kʌɾb
kʌɾm
kʌɾt
kʌɾg
kʌbs
gʌb
gʌd
gʌg
gʌm
gʌn
gʌŋ
gʌs
gʌɾ
gʌsɾ
gʌɾb
gʌɾm
gʌɾt
gʌɾg
gʌbs
mʌb
mʌd
mʌg
mʌm
mʌn
mʌŋ
mʌs
mʌɾ
mʌsɾ
mʌɾb
mʌɾm
mʌɾt
mʌɾg
mʌbs
nʌb
nʌd
nʌg
nʌm
nʌn
nʌŋ
nʌs
nʌɾ
nʌsɾ
nʌɾb
nʌɾm
nʌɾt
nʌɾg
nʌbs
ŋʌb
ŋʌd
ŋʌg
ŋʌm
ŋʌn
ŋʌŋ
ŋʌs
ŋʌɾ
ŋʌsɾ
ŋʌɾb
ŋʌɾm
ŋʌɾt
ŋʌɾg
ŋʌbs
ksʌb
ksʌd
ksʌg
ksʌm
ksʌn
ksʌŋ
ksʌs
ksʌɾ
ksʌsɾ
ksʌɾb
ksʌɾm
ksʌɾt
ksʌɾg
ksʌbs
tʃʌb
tʃʌd
tʃʌg
tʃʌm
tʃʌn
tʃʌŋ
tʃʌs
tʃʌɾ
tʃʌsɾ
tʃʌɾb
tʃʌɾm
tʃʌɾt
tʃʌɾg
tʃʌbs
ɸʌb
ɸʌd
ɸʌg
ɸʌm
ɸʌn
ɸʌŋ
ɸʌs
ɸʌɾ
ɸʌsɾ
ɸʌɾb
ɸʌɾm
ɸʌɾt
ɸʌɾg
ɸʌbs
sʌb
sʌd
sʌg
sʌm
sʌn
sʌŋ
sʌs
sʌɾ
sʌsɾ
sʌɾb
sʌɾm
sʌɾt
sʌɾg
sʌbs
zʌb
zʌd
zʌg
zʌm
zʌn
zʌŋ
zʌs
zʌɾ
zʌsɾ
zʌɾb
zʌɾm
zʌɾt
zʌɾg
zʌbs
ʃʌb
ʃʌd
ʃʌg
ʃʌm
ʃʌn
ʃʌŋ
ʃʌs
ʃʌɾ
ʃʌsɾ
ʃʌɾb
ʃʌɾm
ʃʌɾt
ʃʌɾg
ʃʌbs
hʌb
hʌd
hʌg
hʌm
hʌn
hʌŋ
hʌs
hʌɾ
hʌsɾ
